trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.9980786156017829}",25,0,-166.13899488364495,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-130.49253640922507,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.99795269895523}",25,0,-235.97491776314018,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9978882436713011}",20,0,-135.66639110122276,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9978227904992117}",35,0,-140.70807908872916,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9977563395044151}",20,0,-52.0800697061522,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9976888907533621}",20,0,-120.70934611528224,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,0,-63.437600934577695,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-138.53702537523833,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.9974805586421406}",20,0,-95.85196260518629,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,1,-61.4498347751816,"{0: 12, 1: 8, 2: 4, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.9973366830498752}",35,0,-286.17424232010757,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 5}",0
74,False,"{'a': 0.5, 'e': 0.9972632492126244}",25,0,-142.47244961807732,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9971888181122075}",25,0,-202.80587783384206,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9971133898230555}",20,0,-195.56019709031017,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.9970369644205967}",25,9,-45.85901255591125,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.9969595419812568}",20,0,-195.80607319004395,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
79,False,"{'a': 0.5, 'e': 0.9968811225824579}",25,0,-83.65225655688336,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-193.23672074403723,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.9967212932211577}",30,0,-213.16199134496986,"{0: 10, 1: 8, 2: 10, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9966398834184859}",30,4,-115.29002594783569,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.9965574769760137}",25,0,-111.8192471647564,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-75.97841918974432,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9963896745022904}",20,0,-100.15759147639577,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.996304278638842}",30,0,-149.20187200557373,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9962178864711978}",25,0,-73.74730621174992,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9961304980857502}",25,0,-167.77148169292016,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9960421135698875}",30,0,-104.31480818319086,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-78.05304383012614,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9958623565014509}",20,0,-148.74422618625783,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,0,-66.45643535499823,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9956786159849162}",25,0,-118.17581042208846,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9955852521626654}",20,0,-118.30547567895539,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
